n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,500,exp_01,Cepo,0.6640000000006694
3,20000,500,exp_01,Voom,24.86700000000019
3,20000,500,exp_01,MAST,509.08699999999953
3,20000,500,exp_01,DD,34.07800000000043
3,20000,500,exp_02,Cepo,0.5170000000007349
3,20000,500,exp_02,Voom,25.109999999999673
3,20000,500,exp_02,MAST,503.96500000000015
3,20000,500,exp_02,DD,33.777000000000044
3,20000,500,exp_03,Cepo,0.6419999999998254
3,20000,500,exp_03,Voom,24.097999999999956
3,20000,500,exp_03,MAST,510.10499999999956
3,20000,500,exp_03,DD,36.315999999999804
3,20000,500,exp_04,Cepo,0.5150000000003274
3,20000,500,exp_04,Voom,22.01800000000003
3,20000,500,exp_04,MAST,486.1940000000004
3,20000,500,exp_04,DD,34.06700000000001
3,20000,500,exp_05,Cepo,0.6019999999998618
3,20000,500,exp_05,Voom,22.5029999999997
3,20000,500,exp_05,MAST,514.7659999999996
3,20000,500,exp_05,DD,35.025000000000546
3,20000,500,exp_06,Cepo,0.5309999999999491
3,20000,500,exp_06,Voom,22.68000000000029
3,20000,500,exp_06,MAST,504.6749999999993
3,20000,500,exp_06,DD,34.762000000000626
3,20000,500,exp_07,Cepo,0.6289999999999054
3,20000,500,exp_07,Voom,19.521999999999935
3,20000,500,exp_07,MAST,496.4520000000002
3,20000,500,exp_07,DD,35.042999999999665
3,20000,500,exp_08,Cepo,0.5480000000006839
3,20000,500,exp_08,Voom,22.99499999999989
3,20000,500,exp_08,MAST,509.8009999999995
3,20000,500,exp_08,DD,34.0059999999994
3,20000,500,exp_09,Cepo,0.6149999999997817
3,20000,500,exp_09,Voom,25.391999999999825
3,20000,500,exp_09,MAST,509.9470000000001
3,20000,500,exp_09,DD,35.235999999999876
3,20000,500,exp_10,Cepo,0.5270000000000437
3,20000,500,exp_10,Voom,25.337000000000444
3,20000,500,exp_10,MAST,513.3949999999995
3,20000,500,exp_10,DD,33.66699999999946
3,20000,500,exp_11,Cepo,0.6170000000001892
3,20000,500,exp_11,Voom,25.302999999999884
3,20000,500,exp_11,MAST,505.9549999999999
3,20000,500,exp_11,DD,34.909999999999854
3,20000,500,exp_12,Cepo,0.5339999999996508
3,20000,500,exp_12,Voom,24.890000000000327
3,20000,500,exp_12,MAST,497.326
3,20000,500,exp_12,DD,33.73900000000049
3,20000,500,exp_13,Cepo,0.6170000000001892
3,20000,500,exp_13,Voom,25.239000000000487
3,20000,500,exp_13,MAST,508.95799999999963
3,20000,500,exp_13,DD,35.551000000000386
3,20000,500,exp_14,Cepo,0.5479999999997744
3,20000,500,exp_14,Voom,25.22100000000046
3,20000,500,exp_14,MAST,508.5069999999996
3,20000,500,exp_14,DD,34.853000000000065
3,20000,500,exp_15,Cepo,0.623000000000502
